Source,year,month,month total,treat1,post1,treat2,post2,treat3,post3,count_citizens,income,population,unemployment rate,excahnge rate,Visa,Asia,North_America,South_America,Africa,Europe,Oceania
Canada,2014,11,1,1,0,1,0,1,0,1657604,50633.20882,35404608.00 ,6.91%,1.10 ,0 ,0,1,0,0,0,0
Canada,2014,12,2,1,0,1,0,1,0,1492328,50633.20882,35404608.00 ,6.91%,1.10 ,0 ,0,1,0,0,0,0
Canada,2015,1,3,1,0,1,0,1,0,1566703,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,2,4,1,0,1,0,1,0,1419693,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,3,5,1,0,1,0,1,0,2077077,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,4,6,1,0,1,0,1,0,1922648,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,5,7,1,0,1,0,1,0,1835919,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,6,8,1,0,1,0,1,0,1487953,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,7,9,1,0,1,0,1,0,2165136,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,8,10,1,0,1,0,1,0,2477678,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,9,11,1,0,1,0,1,0,1595078,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,10,12,1,0,1,0,1,0,1465517,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,11,13,1,0,1,0,1,0,1427385,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2015,12,14,1,0,1,0,1,0,1263914,43525.37019,35732126.00 ,6.91%,1.28 ,0 ,0,1,0,0,0,0
Canada,2016,1,15,1,0,1,0,1,0,1356784,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,2,16,1,0,1,0,1,0,1230522,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,3,17,1,0,1,0,1,0,1797979,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,4,18,1,0,1,0,1,0,1610571,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,5,19,1,0,1,0,1,0,1693188,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,6,20,1,0,1,0,1,0,1375677,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,7,21,1,0,1,0,1,0,2019920,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,8,22,1,0,1,0,1,0,2343706,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,9,23,1,0,1,0,1,0,1639762,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,10,24,1,0,1,0,1,0,1557578,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,11,25,1,1,1,0,1,0,1405354,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2016,12,26,1,1,1,0,1,0,1270466,42348.94546,36113532.00 ,7.00%,1.33 ,0 ,0,1,0,0,0,0
Canada,2017,1,27,1,1,1,0,1,0,1475040,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,2,28,1,1,1,1,1,0,1290766,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,3,29,1,1,1,1,1,0,1844396,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,4,30,1,1,1,1,1,0,1848538,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,5,31,1,1,1,1,1,0,1589873,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,6,32,1,1,1,1,1,1,1450202,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,7,33,1,1,1,1,1,1,2094050,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,8,34,1,1,1,1,1,1,2431706,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Canada,2017,9,35,1,1,1,1,1,1,1707458,45032.11991,36554348.00 ,6.34%,1.30 ,0 ,0,1,0,0,0,0
Mexico,2014,11,1,1,0,1,0,1,0,1634122,10582.41053,118755887.00 ,4.80%,13.29 ,1 ,0,1,0,0,0,0
Mexico,2014,12,2,1,0,1,0,1,0,1779586,10582.41053,118755887.00 ,4.80%,13.29 ,1 ,0,1,0,0,0,0
Mexico,2015,1,3,1,0,1,0,1,0,1458865,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,2,4,1,0,1,0,1,0,1188731,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,3,5,1,0,1,0,1,0,1260888,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,4,6,1,0,1,0,1,0,1537584,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,5,7,1,0,1,0,1,0,1559509,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,6,8,1,0,1,0,1,0,1406435,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,7,9,1,0,1,0,1,0,1592250,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,8,10,1,0,1,0,1,0,1699784,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,9,11,1,0,1,0,1,0,1364669,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,10,12,1,0,1,0,1,0,1627598,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,11,13,1,0,1,0,1,0,1795617,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2015,12,14,1,0,1,0,1,0,1921719,9298.242878,120149897.00 ,4.30%,15.85 ,1 ,0,1,0,0,0,0
Mexico,2016,1,15,1,0,1,0,1,0,1506503,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,2,16,1,0,1,0,1,0,1227726,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,3,17,1,0,1,0,1,0,1466627,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,4,18,1,0,1,0,1,0,1469926,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,5,19,1,0,1,0,1,0,1559352,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,6,20,1,0,1,0,1,0,1523634,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,7,21,1,0,1,0,1,0,1724006,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,8,22,1,0,1,0,1,0,1778174,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,9,23,1,0,1,0,1,0,1503453,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,10,24,1,0,1,0,1,0,1618625,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,11,25,1,1,1,0,1,0,1619322,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2016,12,26,1,1,1,0,1,0,1732667,8450.49401,121519221.00 ,3.90%,18.66 ,1 ,0,1,0,0,0,0
Mexico,2017,1,27,1,1,1,0,1,0,1484676,8910.333177,122839258.00 ,3.40%,18.93 ,1 ,0,1,0,0,0,0
Mexico,2017,2,28,1,1,1,1,1,0,1176017,8910.333177,122839258.00 ,3.40%,18.93 ,1 ,0,1,0,0,0,0
Mexico,2017,3,29,1,1,1,1,1,0,1187043,8910.333177,122839258.00 ,3.40%,18.93 ,1 ,0,1,0,0,0,0
